run_id,dataset_size,model_name,arch_type,n_params,train_loss,val_loss,gen_gap,training_time
1,400,transformer_nano,transformer,3243968,10.391733551025391,10.584247589111328,0.19251403808593714,0.879868745803833
1,400,transformer_micro,transformer,6637056,10.01058464050293,10.341222763061523,0.33063812255859304,0.9594314098358154
1,400,lstm_nano,lstm,3283601,10.767840576171874,10.77672290802002,0.008882331848145242,0.9189763069152832
1,400,lstm_micro,lstm,6616273,10.698589324951172,10.704955101013184,0.006365776062011719,1.0141232013702393
1,400,gru_nano,gru,3279377,10.73420066833496,10.772248268127441,0.03804759979248118,0.941737174987793
1,400,gru_micro,gru,6582993,10.502749252319337,10.578235626220703,0.07548637390136648,1.0544922351837158
1,400,mlp_nano,mlp,3268817,10.699003601074219,10.719317436218262,0.020313835144042613,0.8392593860626221
1,400,mlp_micro,mlp,6499793,10.751337051391602,10.763051986694336,0.011714935302734375,0.8722238540649414
1,800,transformer_nano,transformer,3243968,10.15943717956543,10.23086675008138,0.07142957051595111,1.6310110092163086
1,800,transformer_micro,transformer,6637056,9.598596954345703,9.723171869913736,0.1245749155680329,1.8562631607055664
1,800,lstm_nano,lstm,3283601,10.632400131225586,10.537924448649088,-0.09447568257649763,1.7916951179504395
1,800,lstm_micro,lstm,6616273,9.993150329589843,10.022802670796713,0.029652341206869437,1.9723918437957764
1,800,gru_nano,gru,3279377,10.477838706970214,10.384784698486328,-0.09305400848388601,1.8257818222045898
1,800,gru_micro,gru,6582993,9.82390480041504,9.88240114847819,0.05849634806314974,2.0704615116119385
1,800,mlp_nano,mlp,3268817,10.619185256958009,10.557339350382486,-0.061845906575522136,1.5925137996673584
1,800,mlp_micro,mlp,6499793,9.917809391021729,9.178034782409668,-0.7397746086120609,1.6715362071990967
1,1600,transformer_nano,transformer,3243968,9.630736017227173,9.629924011230468,-0.0008120059967051674,3.211923360824585
1,1600,transformer_micro,transformer,6637056,8.790936279296876,8.737959289550782,-0.052976989746094105,3.6825931072235107
1,1600,lstm_nano,lstm,3283601,10.035372686386108,10.06325454711914,0.027881860733032227,3.656709909439087
1,1600,lstm_micro,lstm,6616273,9.295910215377807,9.505441856384277,0.20953164100646937,4.091240644454956
1,1600,gru_nano,gru,3279377,10.05570821762085,10.018440437316894,-0.0372677803039565,3.605968475341797
1,1600,gru_micro,gru,6582993,9.209755086898804,9.430691528320313,0.22093644142150914,4.015904903411865
1,1600,mlp_nano,mlp,3268817,10.179853868484496,9.840702056884766,-0.33915181159973073,3.0807087421417236
1,1600,mlp_micro,mlp,6499793,8.31968047618866,8.230790710449218,-0.08888976573944163,3.2779030799865723
1,3200,transformer_nano,transformer,3243968,8.59649031162262,8.300676727294922,-0.2958135843276981,6.463900566101074
1,3200,transformer_micro,transformer,6637056,7.026172184944153,6.684628105163574,-0.3415440797805793,7.346802711486816
1,3200,lstm_nano,lstm,3283601,9.32653341293335,9.414850330352783,0.0883169174194336,7.211309432983398
1,3200,lstm_micro,lstm,6616273,8.543909239768983,8.675652360916137,0.1317431211471547,7.837093353271484
1,3200,gru_nano,gru,3279377,9.257909965515136,9.300242137908935,0.04233217239379883,7.231587648391724
1,3200,gru_micro,gru,6582993,8.54997673034668,8.662810802459717,0.11283407211303675,7.901435375213623
1,3200,mlp_nano,mlp,3268817,7.929718339443207,7.845662403106689,-0.08405593633651787,6.175288438796997
1,3200,mlp_micro,mlp,6499793,7.626663529872895,7.816585731506348,0.1899222016334532,86.98928260803223
