run_id,experiment_key,model_name,size_variant,arch_type,dataset_size,n_params,val_loss,val_accuracy,training_time
1,decoder_small_n1000,decoder,small,decoder_only,1000,778504,8.551139831542969,0.0,1.8737494945526123
1,decoder_small_n5000,decoder,small,decoder_only,5000,778504,7.95155930519104,0.0,4.987655401229858
1,decoder_small_n10000,decoder,small,decoder_only,10000,778504,7.622733827621218,0.0,7.9771013259887695
1,decoder_base_n1000,decoder,base,decoder_only,1000,2343304,8.500343867710658,0.0,1.69248628616333
1,decoder_base_n5000,decoder,base,decoder_only,5000,2343304,7.773940324783325,0.0,7.706839561462402
1,decoder_base_n10000,decoder,base,decoder_only,10000,2343304,7.1856802683027965,0.0,14.68763256072998
1,encoder_small_n1000,encoder,small,encoder_only,1000,420618,2.448787144252232,0.1,0.623542070388794
1,encoder_small_n5000,encoder,small,encoder_only,5000,420618,2.39886474609375,0.092,3.2757058143615723
1,encoder_small_n10000,encoder,small,encoder_only,10000,420618,2.3503553602430554,0.0885,5.341588735580444
1,encoder_base_n1000,encoder,base,encoder_only,1000,1434378,2.4288112095424106,0.09,0.9608051776885986
1,encoder_base_n5000,encoder,base,encoder_only,5000,1434378,2.3412227630615234,0.098,5.961719512939453
1,encoder_base_n10000,encoder,base,encoder_only,10000,1434378,2.3208763485863093,0.11,11.194449186325073
1,encdec_small_n1000,encdec,small,encoder_decoder,1000,878728,8.589481353759766,0.0,1.2826976776123047
1,encdec_small_n5000,encdec,small,encoder_decoder,5000,878728,8.149394512176514,0.0,5.924720525741577
1,encdec_small_n10000,encdec,small,encoder_decoder,10000,878728,7.530846308148097,0.0,12.350493669509888
1,encdec_base_n1000,encdec,base,encoder_decoder,1000,3136904,8.575277600969587,0.0,2.6266112327575684
1,encdec_base_n5000,encdec,base,encoder_decoder,5000,3136904,7.64299738407135,0.0,10.980557680130005
1,encdec_base_n10000,encdec,base,encoder_decoder,10000,3136904,6.205083695669023,0.0,22.523980855941772
